id,level,prompt,expected_table_count,expected_joins,status,before_status,readiness_status,readiness_reason,live_status,live_reason,model_calls,seconds
P00018,1,Ocak 2022 satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0091
P00019,1,Ocak 2022 için satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0073
P00020,1,Ocak 2022 dönemindeki satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0088
P00021,1,Ocak 2022 toptan satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.008
P00022,1,Ocak 2022 toptan satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0082
P00023,1,Ocak 2022 dönemindeki toptan satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0103
P00024,1,Ocak 2022 için perakende satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0091
P00025,1,Ocak 2022 perakende satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0102
P00026,1,Ocak 2022 net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0101
P00027,1,Ocak 2022 için net satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0102
P00028,1,Ocak 2022 net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0101
P00029,1,Ocak 2022 toptan net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0109
P00030,1,Ocak 2022 için toptan net satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.013
P00031,1,Ocak 2022 dönemindeki toptan net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0132
P00032,1,Ocak 2022 perakende net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0105
P00033,1,Ocak 2022 perakende net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0126
P00034,1,Ocak 2022 dönemindeki perakende net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0128
P00035,1,Şubat 2022 satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.008
P00036,1,Şubat 2022 satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0086
P00037,1,Şubat 2022 dönemindeki satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0087
P00038,1,Şubat 2022 için toptan satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.009
P00039,1,Şubat 2022 toptan satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0085
P00040,1,Şubat 2022 perakende satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0086
P00041,1,Şubat 2022 için perakende satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0086
P00042,1,Şubat 2022 dönemindeki perakende satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0096
P00043,1,Şubat 2022 satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0084
P00044,1,Şubat 2022 için satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0078
P00045,1,Şubat 2022 dönemindeki satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0088
P00046,1,Şubat 2022 toptan satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0086
P00047,1,Şubat 2022 toptan satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0091
P00048,1,Şubat 2022 dönemindeki toptan satış tutarı bilgisini raporla.,1,0,PASS,PASS,MODEL_REQUIRED,unresolved terms: bilgisini,NOT_LIVE_TESTED,,0,0.0093
P00049,1,Şubat 2022 için perakende satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0101
P00050,1,Şubat 2022 perakende satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0121
P00051,1,Şubat 2022 satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0103
P00052,1,Şubat 2022 için satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.009
P00053,1,Şubat 2022 satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0081
P00054,1,Şubat 2022 toptan satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0098
P00055,1,Şubat 2022 için toptan satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0087
P00056,1,Şubat 2022 dönemindeki toptan satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0114
P00057,1,Şubat 2022 perakende satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0099
P00058,1,Şubat 2022 perakende satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0088
P00059,1,Şubat 2022 dönemindeki perakende satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0111
P00060,1,Şubat 2022 net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0111
P00061,1,Şubat 2022 net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0103
P00062,1,Şubat 2022 dönemindeki net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0122
P00063,1,Şubat 2022 için toptan net satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0114
P00064,1,Şubat 2022 toptan net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0111
P00065,1,Şubat 2022 perakende net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0117
P00066,1,Şubat 2022 için perakende net satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0114
P00067,1,Şubat 2022 dönemindeki perakende net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0116
P00068,1,Mart 2022 satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0095
P00069,1,Mart 2022 için satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.01
P00070,1,Mart 2022 dönemindeki satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0087
P00071,1,Mart 2022 toptan satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0092
P00072,1,Mart 2022 toptan satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.009
P00073,1,Mart 2022 dönemindeki toptan satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0099
P00074,1,Mart 2022 için perakende satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.009
P00075,1,Mart 2022 perakende satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0085
P00076,1,Mart 2022 satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0082
P00077,1,Mart 2022 için satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0084
P00078,1,Mart 2022 satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0076
P00079,1,Mart 2022 toptan satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0089
P00080,1,Mart 2022 için toptan satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0082
P00081,1,Mart 2022 dönemindeki toptan satış tutarı bilgisini raporla.,1,0,PASS,PASS,MODEL_REQUIRED,unresolved terms: bilgisini,NOT_LIVE_TESTED,,0,0.01
P00082,1,Mart 2022 perakende satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0087
P00083,1,Mart 2022 perakende satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0083
P00084,1,Mart 2022 dönemindeki perakende satış tutarı bilgisini raporla.,1,0,PASS,PASS,MODEL_REQUIRED,unresolved terms: bilgisini,NOT_LIVE_TESTED,,0,0.0096
P00085,1,Mart 2022 satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0086
P00086,1,Mart 2022 satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0084
P00087,1,Mart 2022 dönemindeki satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.009
P00088,1,Mart 2022 için toptan satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0093
P00089,1,Mart 2022 toptan satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0086
P00090,1,Mart 2022 perakende satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0094
P00091,1,Mart 2022 için perakende satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0091
P00092,1,Mart 2022 dönemindeki perakende satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0111
P00093,1,Mart 2022 net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0104
P00094,1,Mart 2022 için net satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0098
P00095,1,Mart 2022 dönemindeki net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0108
P00096,1,Mart 2022 toptan net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0106
P00097,1,Mart 2022 toptan net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0104
P00098,1,Mart 2022 dönemindeki toptan net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0116
P00099,1,Mart 2022 için perakende net satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0108
P00100,1,Mart 2022 perakende net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0105
P00101,1,Nisan 2022 satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0095
P00102,1,Nisan 2022 için satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0083
P00103,1,Nisan 2022 satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0102
P00104,1,Nisan 2022 toptan satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0107
P00105,1,Nisan 2022 için toptan satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0093
P00106,1,Nisan 2022 dönemindeki toptan satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0111
P00107,1,Nisan 2022 perakende satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0086
P00108,1,Nisan 2022 perakende satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0097
P00109,1,Nisan 2022 dönemindeki perakende satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0104
P00110,1,Nisan 2022 satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.051
P00111,1,Nisan 2022 satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0086
P00112,1,Nisan 2022 dönemindeki satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0098
P00113,1,Nisan 2022 için toptan satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0098
P00114,1,Nisan 2022 toptan satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0087
P00115,1,Nisan 2022 perakende satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0088
P00116,1,Nisan 2022 için perakende satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0081
P00117,1,Nisan 2022 dönemindeki perakende satış tutarı bilgisini raporla.,1,0,PASS,PASS,MODEL_REQUIRED,unresolved terms: bilgisini,NOT_LIVE_TESTED,,0,0.0089
P00118,1,Nisan 2022 satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0078
P00119,1,Nisan 2022 için satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0076
P00120,1,Nisan 2022 dönemindeki satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0091
P00121,1,Nisan 2022 toptan satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0085
P00122,1,Nisan 2022 toptan satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0084
P00123,1,Nisan 2022 dönemindeki toptan satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0091
P00124,1,Nisan 2022 için perakende satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0084
P00125,1,Nisan 2022 perakende satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.009
P00126,1,Nisan 2022 net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0101
P00127,1,Nisan 2022 için net satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0102
P00128,1,Nisan 2022 net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0104
P00129,1,Nisan 2022 toptan net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0107
P00130,1,Nisan 2022 için toptan net satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0231
P00131,1,Nisan 2022 dönemindeki toptan net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.041
P00132,1,Nisan 2022 perakende net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0124
P00133,1,Nisan 2022 perakende net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.01
P00134,1,Nisan 2022 dönemindeki perakende net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0121
P00135,1,Mayıs 2022 satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0089
P00136,1,Mayıs 2022 satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0077
P00137,1,Mayıs 2022 dönemindeki satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0097
P00138,1,Mayıs 2022 için toptan satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0084
P00139,1,Mayıs 2022 toptan satılan adet hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0106
P00140,1,Mayıs 2022 perakende satılan adet nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0116
P00141,1,Mayıs 2022 için perakende satılan adet göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0106
P00142,1,Mayıs 2022 dönemindeki perakende satılan adet bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.013
P00143,1,Mayıs 2022 satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0091
P00144,1,Mayıs 2022 için satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0077
P00145,1,Mayıs 2022 dönemindeki satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0092
P00146,1,Mayıs 2022 toptan satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0084
P00147,1,Mayıs 2022 toptan satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0089
P00148,1,Mayıs 2022 dönemindeki toptan satış tutarı bilgisini raporla.,1,0,PASS,PASS,MODEL_REQUIRED,unresolved terms: bilgisini,NOT_LIVE_TESTED,,0,0.0095
P00149,1,Mayıs 2022 için perakende satış tutarı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0096
P00150,1,Mayıs 2022 perakende satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0081
P00151,1,Mayıs 2022 satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0089
P00152,1,Mayıs 2022 için satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0078
P00153,1,Mayıs 2022 satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0087
P00154,1,Mayıs 2022 toptan satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0093
P00155,1,Mayıs 2022 için toptan satış satırı sayısı göster.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0098
P00156,1,Mayıs 2022 dönemindeki toptan satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0106
P00157,1,Mayıs 2022 perakende satış satırı sayısı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0088
P00158,1,Mayıs 2022 perakende satış satırı sayısı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0096
P00159,1,Mayıs 2022 dönemindeki perakende satış satırı sayısı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0095
P00160,1,Mayıs 2022 net satış tutarı nedir?,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0115
P00161,1,Mayıs 2022 net satış tutarı hesapla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.013
P00162,1,Mayıs 2022 dönemindeki net satış tutarı bilgisini raporla.,1,0,PASS,PASS,DETERMINISTIC_PLAN_READY,ok,NOT_LIVE_TESTED,,0,0.0135
