id,prompt,status,metric,level,entity_count,physical_table_count,answer_rows,reference_rows,numeric_match,api_seconds,seconds,catalog_version,catalog_hash,runtime_stage,app_sha256,answer_sha256,reference_sha256
P08840,"Şubat 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satılan adet nedir?",LIVE_PASS,satılan adet,5,8,15,9032,9032,True,3.496,7.58,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,874dcd093aeb66b228e1735a5d792374bbc67a87be2993d77eef8c15cb21bd75,874dcd093aeb66b228e1735a5d792374bbc67a87be2993d77eef8c15cb21bd75
P08850,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Şubat 2024 perakende satış tutarı hesapla.",LIVE_PASS,satış tutarı,5,8,15,9032,9032,True,4.741,8.16,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,77e36502275e6f7e0904b0d6c5802f427dad70e37bf2494d3449f57078259b5b,77e36502275e6f7e0904b0d6c5802f427dad70e37bf2494d3449f57078259b5b
P08858,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Şubat 2024 perakende satış satırı sayısı hesapla.",LIVE_PASS,satış satırı sayısı,5,8,15,9032,9032,True,2.791,6.48,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,6a56546cf035b3a1c7e92c8014819ddb6204caa376d112673aede13fb1211841,6a56546cf035b3a1c7e92c8014819ddb6204caa376d112673aede13fb1211841
P08866,"Şubat 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende net satış tutarı göster.",LIVE_PASS,net satış tutarı,5,8,15,9194,9194,True,7.126,13.89,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,49fb166c0ddf0eb40dbae55fe1123001ec63309f648b5f5183be6ab5990e240a,49fb166c0ddf0eb40dbae55fe1123001ec63309f648b5f5183be6ab5990e240a
P08874,"Mart 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satılan adet göster.",LIVE_PASS,satılan adet,5,8,15,9818,9818,True,5.682,11.59,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,b2344da9ece52d35b2897dc3ed82ad3d5ea0cd1cb511943723975bf0a4422fd5,b2344da9ece52d35b2897dc3ed82ad3d5ea0cd1cb511943723975bf0a4422fd5
P08882,"Mart 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış tutarı nedir?",LIVE_PASS,satış tutarı,5,8,15,9818,9818,True,3.721,9.22,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,992c4db6de43d65f78b7219e574e68a17ae0ade1c0d66582f695dcfb19a7d7cb,992c4db6de43d65f78b7219e574e68a17ae0ade1c0d66582f695dcfb19a7d7cb
P08890,"Mart 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış satırı sayısı nedir?",LIVE_PASS,satış satırı sayısı,5,8,15,9818,9818,True,3.243,7.68,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,9a1a210b8e8ad477157d73090dd3332d3dfe974cbf296186b4ffdf04bd1217ae,9a1a210b8e8ad477157d73090dd3332d3dfe974cbf296186b4ffdf04bd1217ae
P08900,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Mart 2024 perakende net satış tutarı hesapla.",LIVE_PASS,net satış tutarı,5,8,15,9996,9996,True,3.187,7.18,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,046499fbacd52d3c5e99d0fd395cea56df4ddeac6c48d1921a062c63965d3635,046499fbacd52d3c5e99d0fd395cea56df4ddeac6c48d1921a062c63965d3635
P08908,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Nisan 2024 perakende satılan adet hesapla.",LIVE_PASS,satılan adet,5,8,15,7089,7089,True,6.216,9.28,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,0a9a0f162010ae32301a3e7827a6b4e3fd57011e8922e745e417d42422034626,0a9a0f162010ae32301a3e7827a6b4e3fd57011e8922e745e417d42422034626
P08916,"Nisan 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış tutarı göster.",LIVE_PASS,satış tutarı,5,8,15,7089,7089,True,2.886,6.57,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,39cd5ad9995d683a5a79ab9897c2a78938710df920c5b56cc4fe4605e2b63841,39cd5ad9995d683a5a79ab9897c2a78938710df920c5b56cc4fe4605e2b63841
P08924,"Nisan 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış satırı sayısı göster.",LIVE_PASS,satış satırı sayısı,5,8,15,7089,7089,True,3.313,6.56,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,d90f9f887615f7c80aea71d2443ba52b71aacdc4c2047dfcc70c75e08cfa9b10,d90f9f887615f7c80aea71d2443ba52b71aacdc4c2047dfcc70c75e08cfa9b10
P08932,"Nisan 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende net satış tutarı nedir?",LIVE_PASS,net satış tutarı,5,8,15,7238,7238,True,3.169,6.17,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,0bae1bcdfaab44ac5f6b7ff11c4955cbed04b55603fddcbe22c0a67a1eec8c25,0bae1bcdfaab44ac5f6b7ff11c4955cbed04b55603fddcbe22c0a67a1eec8c25
P08940,"Mayıs 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satılan adet nedir?",LIVE_PASS,satılan adet,5,8,15,11718,11718,True,3.264,9.49,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,e105c1ab1296119ed6890ec9c44044448fa916840936530e0a771be45d5ad3ff,e105c1ab1296119ed6890ec9c44044448fa916840936530e0a771be45d5ad3ff
P08950,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Mayıs 2024 perakende satış tutarı hesapla.",LIVE_PASS,satış tutarı,5,8,15,11718,11718,True,4.383,9.52,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,1a92ab13e6eba73f9ea0361b47380bee0218a7c9413f13776e89da26ec00e132,1a92ab13e6eba73f9ea0361b47380bee0218a7c9413f13776e89da26ec00e132
P08958,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Mayıs 2024 perakende satış satırı sayısı hesapla.",LIVE_PASS,satış satırı sayısı,5,8,15,11718,11718,True,4.264,10.69,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,0b595904de559e3a2121478d6db24c295ab84798cc5143a1dcd03ec4cca06e8f,0b595904de559e3a2121478d6db24c295ab84798cc5143a1dcd03ec4cca06e8f
P08966,"Mayıs 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende net satış tutarı göster.",LIVE_PASS,net satış tutarı,5,8,15,11770,11770,True,9.882,15.73,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,fa5104a2fc552c5679aedbeb8f2e284294427b4832814425c49fe2ecfe62c05d,fa5104a2fc552c5679aedbeb8f2e284294427b4832814425c49fe2ecfe62c05d
P08974,"Haziran 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satılan adet göster.",LIVE_PASS,satılan adet,5,8,15,14260,14260,True,5.206,13.28,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,7f1b0465b3da8dc914886a70993f819f8daf2d66e8f77272c93f46243f857723,7f1b0465b3da8dc914886a70993f819f8daf2d66e8f77272c93f46243f857723
P08982,"Haziran 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış tutarı nedir?",LIVE_PASS,satış tutarı,5,8,15,14260,14260,True,3.204,9.52,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,0222bd094cfa12a9e8e994a903855947cb0aa7fcfee4d1913617214156393b1c,0222bd094cfa12a9e8e994a903855947cb0aa7fcfee4d1913617214156393b1c
P08990,"Haziran 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış satırı sayısı nedir?",LIVE_PASS,satış satırı sayısı,5,8,15,14260,14260,True,4.185,11.3,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,0891aa0593d030ecae9729a14e7994cf5a20b0168c843acc497198e151487430,0891aa0593d030ecae9729a14e7994cf5a20b0168c843acc497198e151487430
P09000,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Haziran 2024 perakende net satış tutarı hesapla.",LIVE_PASS,net satış tutarı,5,8,15,14260,14260,True,5.979,15.17,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,initial,1008acf3c313709ad9f3f33a9d892eb3439dc83d594097a0fb47ffc2ca5bbeee,0222bd094cfa12a9e8e994a903855947cb0aa7fcfee4d1913617214156393b1c,0222bd094cfa12a9e8e994a903855947cb0aa7fcfee4d1913617214156393b1c
P09008,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Temmuz 2024 perakende satılan adet hesapla.",LIVE_PASS,satılan adet,5,8,15,13982,13982,True,7.856,16.47,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,5877908469a3843d610f7483cbd8004d8c16d48146fa9e410ef409ab29da3ff8,5877908469a3843d610f7483cbd8004d8c16d48146fa9e410ef409ab29da3ff8
P09016,"Temmuz 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış tutarı göster.",LIVE_PASS,satış tutarı,5,8,15,13982,13982,True,8.913,21.24,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,ba327dde2d68544386f675ac12d1b52418df0bf1c83550a7e7f9a82d7fb976ff,ba327dde2d68544386f675ac12d1b52418df0bf1c83550a7e7f9a82d7fb976ff
P09024,"Temmuz 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satış satırı sayısı göster.",LIVE_PASS,satış satırı sayısı,5,8,15,13982,13982,True,10.611,19.67,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,71e62849142f75eb4f7d05902d5c1018ec741590d9f0f14d4d391800ca7a23d1,71e62849142f75eb4f7d05902d5c1018ec741590d9f0f14d4d391800ca7a23d1
P09032,"Temmuz 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende net satış tutarı nedir?",LIVE_PASS,net satış tutarı,5,8,15,14056,14056,True,4.042,10.13,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,9f99e1c6381ff7bb4424c967bce28c2f7a4615ef7c82a5f32a94e5acd911e4ef,9f99e1c6381ff7bb4424c967bce28c2f7a4615ef7c82a5f32a94e5acd911e4ef
P09040,"Ağustos 2024 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende satılan adet nedir?",LIVE_PASS,satılan adet,5,8,15,10582,10582,True,3.802,8.54,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,c56d8b4ede1de24d9c877adf3a8b7c833f97eb924aa6fcbbb0a4e7675e02ed43,c56d8b4ede1de24d9c877adf3a8b7c833f97eb924aa6fcbbb0a4e7675e02ed43
P09050,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Ağustos 2024 perakende satış tutarı hesapla.",LIVE_PASS,satış tutarı,5,8,15,10582,10582,True,3.66,8.18,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,dbf0b21e09b223c80ab9c6aaf7e57e38b3f452260acb262833c31de31e51cf40,dbf0b21e09b223c80ab9c6aaf7e57e38b3f452260acb262833c31de31e51cf40
P09058,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Ağustos 2024 perakende satış satırı sayısı hesapla.",LIVE_PASS,satış satırı sayısı,5,8,15,10582,10582,True,4.05,8.91,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,c9bececbc3be9a0eb0c7f6ee34c22b6fc79f68f1852206b2cbf52d7a43d26c30,c9bececbc3be9a0eb0c7f6ee34c22b6fc79f68f1852206b2cbf52d7a43d26c30
P09066,"Ağustos 2024 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında perakende net satış tutarı göster.",LIVE_PASS,net satış tutarı,5,8,15,10893,10893,True,3.544,9.83,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,25ff50f7d93a852a5fffd9c131645950bd75a0fbe3f19611bb0be604c4da52e0,25ff50f7d93a852a5fffd9c131645950bd75a0fbe3f19611bb0be604c4da52e0
P09204,"Ocak 2025 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında toptan satılan adet nedir?",LIVE_PASS,satılan adet,5,8,15,49663,49663,True,9.91,30.27,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,545e2560235d8595f31d749aa61b4476f355704e97cdbf3a5bbca3b86e4acc2e,545e2560235d8595f31d749aa61b4476f355704e97cdbf3a5bbca3b86e4acc2e
P09214,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Ocak 2025 toptan satış tutarı hesapla.",LIVE_PASS,satış tutarı,5,8,15,49663,49663,True,6.841,26.12,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,0a4a95f94b1b02eb34b4bb57897b2d64b3e2dc72f9f51426ac4d719e5e6f6840,0a4a95f94b1b02eb34b4bb57897b2d64b3e2dc72f9f51426ac4d719e5e6f6840
P09222,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Ocak 2025 toptan satış satırı sayısı hesapla.",LIVE_PASS,satış satırı sayısı,5,8,15,49663,49663,True,7.106,25.46,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,f5fe166a2665f5a740488d8104fb4c00693891c8e194b0db03e3e5c9d097664e,f5fe166a2665f5a740488d8104fb4c00693891c8e194b0db03e3e5c9d097664e
P09230,"Ocak 2025 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında toptan net satış tutarı göster.",LIVE_PASS,net satış tutarı,5,8,15,54703,54703,True,5.901,27.92,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,ba39c5cf5a7e01d36748a0f1ff8926633c508f0f669d243cfada35b19983873b,ba39c5cf5a7e01d36748a0f1ff8926633c508f0f669d243cfada35b19983873b
P09238,"Şubat 2025 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında toptan satılan adet göster.",LIVE_PASS,satılan adet,5,8,15,58664,58664,True,6.958,29.86,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,43704f195015266f18c75ebe1b2da7426c296e3ae1f0683820afddbbea791390,43704f195015266f18c75ebe1b2da7426c296e3ae1f0683820afddbbea791390
P09246,"Şubat 2025 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında toptan satış tutarı nedir?",LIVE_PASS,satış tutarı,5,8,15,58664,58664,True,23.797,47.76,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,58701133501769b5ba5318b5e75a6e76b3bfb5f8dd1f4e7530b635db2bd0c635,58701133501769b5ba5318b5e75a6e76b3bfb5f8dd1f4e7530b635db2bd0c635
P09254,"Şubat 2025 müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında toptan satış satırı sayısı nedir?",LIVE_PASS,satış satırı sayısı,5,8,15,58664,58664,True,5.992,29.13,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,ad14576ecfddbbdbf134cef332614c628294f2934228ffe567217a7d8c8ba86a,ad14576ecfddbbdbf134cef332614c628294f2934228ffe567217a7d8c8ba86a
P09264,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Şubat 2025 toptan net satış tutarı hesapla.",LIVE_PASS,net satış tutarı,5,8,15,64438,64438,True,7.016,33.05,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,5edd5421cbb30fe320ab417d34d4a1927a794cebd77d63f4875ad049d336dce4,5edd5421cbb30fe320ab417d34d4a1927a794cebd77d63f4875ad049d336dce4
P09272,"Müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında Mart 2025 toptan satılan adet hesapla.",LIVE_PASS,satılan adet,5,8,15,45666,45666,True,7.745,26.63,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,9119ca7cac0a59066abce5322aa42af849565a3e63320dd891ba3dae41751e63,9119ca7cac0a59066abce5322aa42af849565a3e63320dd891ba3dae41751e63
P09280,"Mart 2025 için müşteri, ürün, ödeme planı, satış temsilcisi, teslimat şehri ve birim bazında toptan satış tutarı göster.",LIVE_PASS,satış tutarı,5,8,15,45666,45666,True,5.187,24.82,13,21e3b5e01eb6fe3a18008c77153d884036e9c0d7b7632fe0c34bb5417b8cbd69,retention,77ce1780bfa85598326a11b5af11d01abf246797d5ffb748f18223e1e720f05e,a0d3e57723cffc660e3bdf2a7dda184a8b13d0956deab07d4e741330cb4264d8,a0d3e57723cffc660e3bdf2a7dda184a8b13d0956deab07d4e741330cb4264d8
